Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-03-31,460.568,460.568,450.25,456.816,88.484088881329
2022-04-01,456.816,458.693,445.56,455.879,143.91990360216
2022-04-04,455.879,455.879,442.747,453.065,125.79665648189
2022-04-05,453.065,454.002,442.747,442.747,116.20199624175
2022-04-06,442.747,442.747,440.87,441.808,120.46628968181
2022-04-07,447.436,452.127,447.436,448.374,55.435814720833
2022-04-08,448.374,454.941,445.56,445.56,58.634034800881
2022-04-11,446.499,449.313,440.87,440.87,135.39131672203
2022-04-12,442.747,449.313,440.87,449.313,71.426915121073
2022-04-13,449.313,449.313,442.747,442.747,28.783980720432
2022-04-14,448.374,448.374,440.87,442.747,34.114347520512
2022-04-19,442.747,443.684,438.994,438.994,43.709007760657
2022-04-20,438.994,443.684,438.994,441.808,69.294768401041
2022-04-21,441.808,445.56,433.366,440.87,101.27696920152
2022-04-22,445.56,445.56,438.994,438.994,14.925027040224
2022-04-25,433.366,438.994,433.366,438.994,70.360841761057
2022-04-26,436.18,436.18,433.366,433.366,83.153722081249
2022-04-27,434.304,434.304,432.428,432.428,90.616235601361
2022-04-28,434.304,434.304,427.738,429.614,375.25782272564
2022-04-29,429.614,429.614,423.048,423.048,133.259170002
2022-05-02,426.8,440.87,426.8,436.18,139.6556101621
2022-05-04,468.073,468.073,440.87,443.684,324.08630144487
2022-05-05,445.56,449.313,440.87,448.374,133.259170002
2022-05-06,448.374,448.374,431.49,431.49,151.38241712227
2022-05-09,438.056,438.056,431.49,438.056,27.717907360416
2022-05-10,438.056,438.056,432.428,432.428,130.06094992195
2022-05-11,432.428,450.25,432.428,450.25,436.02400424655
2022-05-12,446.499,454.941,435.242,441.808,176.96817776266
2022-05-13,440.87,450.25,440.87,449.313,54.369741360817
2022-05-16,439.933,454.941,439.933,453.065,83.153722081249
2022-05-17,447.436,459.631,447.436,456.816,244.13079944367
2022-05-18,459.631,464.321,448.374,459.631,148.18419704223
2022-05-19,464.321,474.639,454.002,460.568,1025.5625723354
2022-05-20,459.631,470.887,459.631,470.887,2573.5010910787
2022-05-23,469.011,469.011,460.568,460.568,50.105447920753
2022-05-24,460.568,460.568,454.002,458.693,66.096548320993
2022-05-25,452.127,458.693,452.127,458.693,146.05205032219
2022-05-26,458.693,459.631,454.002,457.755,186.5628380028
2022-05-27,459.631,459.631,454.002,454.002,23.453613920352
2022-05-30,454.941,469.011,454.941,469.011,331.54881496498
2022-05-31,459.631,469.011,455.879,461.507,41.576861040625
2022-06-01,463.382,463.382,454.941,463.382,116.20199624175
2022-06-02,464.321,466.197,455.879,466.197,53.303668000801
2022-06-03,454.941,464.321,454.941,464.321,139.6556101621
2022-06-06,454.941,464.321,454.002,459.631,126.86272984191
2022-06-07,464.321,464.321,454.941,457.755,305.9630543246
2022-06-08,454.941,467.135,454.941,467.135,117.26806960176
2022-06-09,466.197,466.197,459.631,464.321,27.717907360416
2022-06-10,459.631,459.631,454.941,454.941,13.858953680208
2022-06-13,453.065,454.002,447.436,450.25,377.38996944567
2022-06-14,450.25,450.25,446.499,450.25,76.757281921153
2022-06-15,451.188,454.941,451.188,451.188,10.66073360016
2022-06-17,451.188,457.755,442.747,442.747,204.68608512307
2022-06-20,442.747,448.374,438.994,438.994,84.219795441265
2022-06-21,438.994,440.87,435.242,435.242,120.46628968181
2022-06-22,448.374,448.374,440.87,440.87,23.453613920352
